lon,lat,precip,temp,indice,stress,perte,ch4,co2,n2o
29.872266593101976,26.49412678708504,2.373852722,23.30852389,0.071237544,3.07,88.79634971,56.31,228.05,26.06
2.665039182728012,28.161088018839479,7.088889685,22.88780426,0.210761583,3.69,8739.301536,49.44,143.59,17.05
18.027014815355834,27.043969317216479,3.145356648,22.99304574,0.095420395,4.55,13.81908844,29.84,52.09,5.52
-8.899232658877542,29.118110835673182,24.76263876,18.3978887,0.495251095,3.89,1967.670195,17.2,61.61,9.24
9.571371858988023,34.110776118118146,21.77465639,20.59708637,0.557484657,3.67,1489.988701,6.29,28.86,4.26





















